air_basin,burn_day_decision_code,date,description
South Central Coast High,B,1/13/2020,Permissive Burn Day Decision 
South Central Coast South Low,B,1/13/2020,Permissive Burn Day Decision 
South Central Coast North Low (Coastal),B,1/13/2020,Permissive Burn Day Decision 
South Central Coast North Low (Inland),B,1/13/2020,Permissive Burn Day Decision 
South Coast,B,1/13/2020,Permissive Burn Day Decision 
San Diego West High,B,1/13/2020,Permissive Burn Day Decision 
San Diego West Low,B,1/13/2020,Permissive Burn Day Decision 
Mojave Desert,B,1/13/2020,Permissive Burn Day Decision 
Salton Sea and San Diego East,B,1/13/2020,Permissive Burn Day Decision 
Sacramento Valley High,G,1/13/2020,Good
Sacramento Valley Low,3,1/13/2020,"The Number of Acres Allocated (in 1,000's)"
San Joaquin Valley Authorized VOC / PM10 / NOx,0.2,1/13/2020,"Number of Tons - Volatile Organic Compound, Particulate Matter, or NOx"
Northeast Plateau,G,1/13/2020,Good
Mountain Counties North,G,1/13/2020,Good
Mountain Counties South,G,1/13/2020,Good
Lake Tahoe,B,1/13/2020,Permissive Burn Day Decision 
Great Basin Valleys North,B,1/13/2020,Permissive Burn Day Decision 
Great Basin Valleys South,B,1/13/2020,Permissive Burn Day Decision 
